local_authority,IMD,five_a_day,active,pop_density,age45orOver,ethnicityWhite,male,facilities_per1000
Wakefield,27.31,23.82,61.04,1038.33,45.92,93.03,49.19,2.19
Walsall,31.55,22.27,57.25,2758.08,42.01,71.35,48.8,1.71
Waltham Forest,25.21,30.47,63.84,7135.05,33.55,52.81,49.02,1.11
Wandsworth,16.61,38.11,74.11,9623.67,30.32,67.81,47.4,1.22
Warrington,18.94,28.49,69.19,1159.11,47.04,93.52,49.51,2.5
Warwick,12,38.75,72.74,512.26,43.95,84.56,49.74,2.28
Watford,15.41,31.62,63.33,4509.87,36.65,60.86,49.24,1.69
Waverley,7.49,41.93,77.28,366.65,49.96,93.65,48.51,3.76
Wealden,12.31,38.57,76.43,195.32,55.5,96.04,48.17,2.44
Welwyn Hatfield,14.22,31.64,69.25,956.3,40.01,78.69,49.16,2.19
West Berkshire,9.95,33.9,72.24,225.04,47.93,91.91,49.37,3.47
West Devon,18.05,46.04,75.87,48.41,58.35,97.81,48.93,3.18
West Lancashire,18.64,31.44,69.32,330.16,49.26,96.91,48.05,2.1
West Lindsey,20.35,38.69,63.77,83.23,54.01,96.96,49.07,2.48
West Northamptonshire,17.71,37.25,65.26,295.3,43.25,85.91,49.48,2.32
West Oxfordshire,8.68,38.52,71.15,156.44,49.26,95.22,49.14,3.07
West Suffolk,16.25,37.81,69.14,171.36,46.04,91.78,50.08,2.86
Westminster,20.34,32.92,70.66,12564.04,36.69,55.2,48.43,1.78
Wigan,25.71,26.96,64.48,1757.32,46.45,95.03,49.49,1.94
Wiltshire,13.45,35.3,71.94,154.84,49.68,94.33,49.32,2.76
Winchester,9.62,43.97,76.42,190.51,47.54,93.61,48.7,3.3
Windsor and Maidenhead,8.38,34.45,76.22,769.8,46.32,79.84,49.13,3.01
Wirral,29.59,34.81,64.44,2065.18,49.52,95.16,48.43,1.77
Woking,10.8,35.12,74.63,1572.56,42.53,78.44,49.68,2.26
Wokingham,5.85,33.62,69.6,971.87,44.05,79.92,49.14,2.5
Wolverhampton,32.1,24.77,57.24,3807.73,41.27,60.56,49.12,1.65
Worcester,20.41,31.04,69.79,3012.85,43.4,89.99,48.98,2.5
Worthing,17.01,34.14,68.86,3408.86,49.71,91.35,48.35,1.68
Wychavon,15.77,38.91,70.51,197.55,53.37,96.85,49.05,2.76
Wyre,20.86,35.9,68.84,400.16,55.83,97.49,48.62,2.23
Wyre Forest,22.44,35.26,64.9,517.58,52.79,95.88,49.03,2.27
York,11.73,35.26,75.18,775.96,43.46,92.78,48.08,2.68
